airport,2015_passenger_throughput,2016_passenger_throughput,2017_passenger_throughput,2018_passenger_throughput,airport_code,airport_lat,airport_lng,,,
兴义,303255,519653,922070,1120857,ACX,25.082371,104.962212,,,
佛山沙堤,296511,355904,471472,109228,FUO,23.080913,113.075983,,,
池州九华山,271876,355956,475132,450910,JUH,30.738176,117.690942,,,
库车龟兹,269995,273695,295001,321086,KCA,41.679452,82.875522,,,
阿勒泰,259915,298486,105301,397391,AAT,47.751758,88.0869,,,
唐山三女河,251206,240999,519164,574333,TVS,39.720066,118.006926,,,
邯郸,248601,462657,684081,763938,HDG,36.523888,114.43,,,
巴彦淖尔天吉泰,234816,273136,282874,352570,RLK,40.927157,107.744545,,,
安庆,232590,325634,459170,477634,AQG,30.580776,117.055412,,,
庆阳,229122,324790,337346,419674,IQN,35.802506,107.604593,,,
梅县长岗岌,227091,335974,397857,512504,MXZ,24.268999,116.103996,,,
稻城亚丁,223247,186350,198952,242091,DCY,29.312192,100.063381,,,
昌都邦达,220107,225666,231235,325065,BPX,30.548892,97.111194,,,
丹东浪头,218547,211516,198498,83241,DDG,40.025551,124.286598,,,
广元盘龙,214977,236664,265256,255477,GYS,32.388634,105.699621,,,
昭通,213845,224051,280639,346579,ZAT,27.323463,103.757591,,,
衢州,212658,208219,202620,251032,JUZ,28.962971,118.901832,,,
延安二十里堡,212593,236909,333724,#NA,ENY,36.475595,109.476005,,,
张家口宁远,207848,351950,600658,387230,ZQZ,40.74646,114.955452,,,
玉树巴塘,192941,181215,263706,302796,YUS,32.839466,97.037788,,,
鸡西兴凯湖,192504,190754,222125,215872,JXA,45.296389,131.199125,,,
怀化芷江,184285,115518,180497,498341,HJJ,27.442036,109.709861,,,
攀枝花保安营,161910,228508,272926,385358,PZI,26.534456,101.799265,,,
秦皇岛山海关,155591,#NA,#NA,#NA,SHP,39.667458,119.067308,,,
锦州锦州湾,152528,158154,232715,294297,JNZ,40.936111,121.276947,,,
安顺黄果树,148860,250798,421517,441391,AVA,26.25699,105.8774,,,
克拉玛依,146617,272585,389677,590497,KRY,45.46725,84.956487,,,
鞍山腾鳌,145016,152647,199279,260922,AOG,41.106456,122.860605,,,
黔江武陵山,142649,153443,288749,409902,JIQ,29.5175,108.82917,,,
吕梁大武,140959,213797,275786,367304,LLV,37.684589,111.148478,,,
加格达奇,132394,132221,147417,156084,JGD,50.374258,124.124526,,,
汉中城固,127918,195178,414361,494960,HZG,33.131684,107.207614,,,
黑河,126860,140752,150692,180905,HEK,50.179364,127.320183,,,
博乐阿拉山口,124676,129030,134269,168933,BPL,44.898289,82.303693,,,
格尔木,119038,149056,172266,183683,GOQ,36.401596,94.788436,,,
二连浩特赛乌素,118645,121788,163111,205826,ERL,43.426714,112.099704,,,
朝阳,117439,132273,136221,172962,CHG,41.541983,120.44019,,,
衡阳南岳,114511,311549,470519,816232,HNY,26.721945,112.618057,,,
塔城,111158,138353,74724,270128,TCG,46.67251,83.346901,,,
甘孜康定,105969,133669,116324,83584,KGT,30.140162,101.741137,,,
文山普者黑,105106,91699,108571,159749,WNH,23.556375,104.328079,,,
连城冠豸山,104466,115931,142794,205031,LCX,25.673066,116.751646,,,
金昌金川,100361,114797,152606,174000,JIC,38.541918,102.35054,,,
阿尔山伊尔施,94099,105043,155187,103880,YIE,46.200408,122.007318,,,
伊春林都,94081,122081,135326,162113,LDS,27.803333,114.30806,,,
中卫香山,93760,102834,159744,243519,ZHY,37.573264,105.158118,,,
漠河古莲,92458,72505,83801,80735,OHE,52.918043,122.432117,,,
六盘水月照,88268,227958,385141,430977,LPF,26.602572,104.972842,,,
那拉提,86638,92634,84491,82057,NLT,43.433139,83.380912,,,
张掖甘州,83821,117637,138292,176848,YZY,38.805064,100.671783,,,
百色巴马,83335,99489,109918,180801,AEB,23.718051,106.964852,,,
哈密,79783,163528,299625,398645,HMI,42.843005,93.664048,,,
阿拉善左旗巴彦浩特,77848,56690,121884,165858,AXF,38.833507,105.668991,,,
通化三源浦,77578,74831,104234,116391,TNH,42.032771,125.790631,,,
布尔津喀纳斯,72775,99574,121284,66731,KJI,48.222971,87.000724,,,
永州零陵,63979,112039,120824,250102,LLF,26.338661,111.610046,,,
天水麦积山,63327,109207,178227,179691,THQ,34.558077,105.864711,,,
抚远东极,62735,62509,65148,58444,FYJ,48.206004,134.371681,,,
阿里昆莎,60981,62341,66342,75028,NGQ,32.099597,80.055558,,,
固原六盘山,55963,107358,157183,226235,GYU,36.078195,106.222016,,,
黎平,49049,47358,93382,50747,HZH,26.318645,109.155032,,,
黔南州荔波,47395,46242,101462,182668,LLB,25.447687,107.966151,,,
甘南夏河,45866,91556,118282,122024,GXH,34.82166,102.622647,,,
梧州长州岛,43138,70639,27475,#NA,WUZ,23.454392,111.253453,,,
日喀则,36741,48132,64539,81349,RKZ,29.348303,89.313836,,,
神农架红坪,28031,18074,10299,20321,HPG,31.635114,110.344673,,,
吐鲁番交河,26921,55373,147653,193069,TLQ,43.03159,89.102437,,,
河池金城江,26445,30299,14083,22446,HCJ,24.801072,107.715025,,,
九江庐山,25960,#NA,#NA,#NA,JIU,29.475421,115.806015,,,
额济纳旗桃来,23195,17264,23843,21249,EJN,42.014143,101.002862,,,
海西德令哈,19017,62961,81661,107354,HXD,37.129769,97.266855,,,
阿拉善右旗巴丹吉林,15682,5041,13566,12540,RHT,39.225406,101.546915,,,
富蕴可可托海,14336,38805,41796,27638,FYN,47.751758,88.0869,,,
阿坝红原,12757,24713,12541,28250,AHJ,32.526648,102.359218,,,
宁蒗泸沽湖,8012,40090,47439,163599,NLH,27.540396,100.759709,,,
凯里黄平,7486,94137,425155,141478,KJH,26.972769,107.990529,,,
日照山字河,3457,408507,737741,901253,RIZ,35.402879,119.331808,,,
长海大长山岛,1543,3392,2958,2720,CNI,39.267495,122.671891,,,
忻州五台山,641,111585,261146,327784,WUT,38.599167,112.967781,,,
海西花土沟,456,24082,38935,77077,HTT,37.129769,97.266855,,,
秦皇岛北戴河,,231240,328473,414224,SHP,39.667458,119.067308,,,
遵义新舟,,,1561066,2033587,WMT,27.59,106.999725,,,
遵义茅台,,,101563,1005463,WMT,27.59,106.999725,,,
泸州云龙,,,,235360,LZO,29.030001,105.470001,,,
延安南泥湾,,,,386548,ENY,36.475595,109.476005,,,
