departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out,source,target
ACX,KMG,2017,ACXKMG2017,2,25.082371,104.96221200000001,25.101944,102.92916899999999,0.15044247800000002,1.026548673,358.0,0.00037187099999999996,366,0.000371845,"[25.082371, 104.96221200000001]","[25.101944, 102.92916899999999]"
ACX,KMG,2018,ACXKMG2018,2,25.082371,104.96221200000001,25.101944,102.92916899999999,0.07816092,0.64137931,392.0,0.000169828,396,9.65e-05,"[25.082371, 104.96221200000001]","[25.101944, 102.92916899999999]"
ACX,KWE,2015,ACXKWE2015,2,25.082371,104.96221200000001,26.538521000000003,106.800697,0.088669951,0.566502463,1089.0,0.00035110699999999997,1096,0.000337784,"[25.082371, 104.96221200000001]","[26.538521000000003, 106.800697]"
ACX,KWE,2016,ACXKWE2016,2,25.082371,104.96221200000001,26.538521000000003,106.800697,0.130841121,0.61682243,1542.0,0.000199199,1380,0.000198921,"[25.082371, 104.96221200000001]","[26.538521000000003, 106.800697]"
ACX,KWE,2017,ACXKWE2017,2,25.082371,104.96221200000001,26.538521000000003,106.800697,0.15044247800000002,0.6637168139999999,2088.0,0.00016325,2090,0.000163228,"[25.082371, 104.96221200000001]","[26.538521000000003, 106.800697]"
ACX,KWE,2018,ACXKWE2018,2,25.082371,104.96221200000001,26.538521000000003,106.800697,0.07816092,0.471264368,2577.0,8.23e-05,2582,5.6000000000000006e-05,"[25.082371, 104.96221200000001]","[26.538521000000003, 106.800697]"
ACX,LHW,2017,ACXLHW2017,2,25.082371,104.96221200000001,36.515240000000006,103.62069699999999,0.15044247800000002,0.637168142,86.0,0.000232025,82,0.000232123,"[25.082371, 104.96221200000001]","[36.515240000000006, 103.62069699999999]"
ACX,LJG,2015,ACXLJG2015,2,25.082371,104.96221200000001,26.683332,100.25,0.088669951,0.305418719,147.0,0.000184437,160,0.00017702,"[25.082371, 104.96221200000001]","[26.683332, 100.25]"
ACX,LJG,2016,ACXLJG2016,2,25.082371,104.96221200000001,26.683332,100.25,0.130841121,0.299065421,253.0,9.279999999999999e-05,254,9.240000000000001e-05,"[25.082371, 104.96221200000001]","[26.683332, 100.25]"
ACX,LJG,2017,ACXLJG2017,2,25.082371,104.96221200000001,26.683332,100.25,0.15044247800000002,0.34513274299999996,297.0,8.41e-05,297,8.39e-05,"[25.082371, 104.96221200000001]","[26.683332, 100.25]"
