departure,arrival,flights,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,airline_centrality,year
PEK,CGQ,4677,40.084152,116.592735,43.996208,125.685303,1.295566502,0.42364532,0.000392772,2015
SYX,PEK,4672,18.302891,109.412201,40.084152,116.592735,0.532019704,1.295566502,0.000385805,2015
CGQ,PEK,4670,43.996208,125.685303,40.084152,116.592735,0.42364532,1.295566502,0.000399818,2015
SZX,HAK,4647,22.63925,113.8106,19.934851,110.4589,0.980295567,0.753694581,0.000384703,2015
CGO,KMG,4615,34.519669,113.840797,25.101944,102.929169,0.625615764,0.926108374,0.000495723,2015
CKG,HGH,4608,29.71921,106.641602,30.2295,120.434402,0.985221675,0.866995074,0.000507135,2015
CTU,LXA,4602,30.57852,103.946999,29.29777,90.911942,1.004926108,0.261083744,0.00068223,2015
HGH,CKG,4594,30.2295,120.434402,29.71921,106.641602,0.866995074,0.985221675,0.000518213,2015
KMG,CGO,4584,25.101944,102.929169,34.519669,113.840797,0.926108374,0.625615764,0.000509887,2015
SHA,KMG,4561,31.196099,121.339766,25.101944,102.929169,0.748768473,0.926108374,0.000534373,2015
AKU,URC,4548,41.263252,80.293103,43.907101,87.474243,0.039408867,0.472906404,0.000686448,2015
URC,AKU,4532,43.907101,87.474243,41.263252,80.293103,0.472906404,0.039408867,0.000725325,2015
LXA,CTU,4513,29.29777,90.911942,30.57852,103.946999,0.261083744,1.004926108,0.000699907,2015
WUH,KMG,4495,30.783751,114.208099,25.101944,102.929169,0.566502463,0.926108374,0.000464903,2015
KMG,WUH,4484,25.101944,102.929169,30.783751,114.208099,0.926108374,0.566502463,0.000490551,2015
SHA,CTU,4469,31.196099,121.339766,30.57852,103.946999,0.748768473,1.004926108,0.000468734,2015
CTU,SHA,4420,30.57852,103.946999,31.196099,121.339766,1.004926108,0.748768473,0.000467951,2015
INC,XIY,4406,38.322769,106.393303,34.438157,108.764819,0.433497537,1.024630542,0.000378187,2015
XIY,CTU,4387,34.438157,108.764819,30.57852,103.946999,1.024630542,1.004926108,0.000952509,2015
XIY,XNN,4387,34.438157,108.764819,36.525322,102.037537,1.024630542,0.36453202,0.000596497,2015
