id,flights,mode,departure,destination,departure_lat,departure_lng,destination_lat,destination_lng,departure_name,destination_name
TSN-SYX,1755,departure,TSN,SYX,39.124352,117.3461,18.302891,109.412201,天津滨海,三亚凤凰
TSN-FOC,1690,departure,TSN,FOC,39.124352,117.3461,25.935061,119.6632,天津滨海,福州长乐
TSN-WUH,1684,departure,TSN,WUH,39.124352,117.3461,30.783751,114.208099,天津滨海,武汉天河
TSN-HET,1436,departure,TSN,HET,39.124352,117.3461,40.853503,111.826381,天津滨海,呼和浩特白塔
TSN-KHN,1359,departure,TSN,KHN,39.124352,117.3461,28.865,115.900002,天津滨海,南昌昌北
TSN-URC,1352,departure,TSN,URC,39.124352,117.3461,43.907101,87.474243,天津滨海,乌鲁木齐地窝堡
TSN-KWE,1244,departure,TSN,KWE,39.124352,117.3461,26.538521,106.800697,天津滨海,贵阳龙洞堡
TSN-JJN,1236,departure,TSN,JJN,39.124352,117.3461,24.794776,118.593069,天津滨海,泉州晋江
TSN-HAK,1023,departure,TSN,HAK,39.124352,117.3461,19.934851,110.4589,天津滨海,海口美兰
TSN-NNG,988,departure,TSN,NNG,39.124352,117.3461,22.608259,108.172401,天津滨海,南宁吴圩
TSN-KWL,986,departure,TSN,KWL,39.124352,117.3461,25.2181,110.039101,天津滨海,桂林两江
TSN-ZUH,902,departure,TSN,ZUH,39.124352,117.3461,22.00666,113.376297,天津滨海,珠海金湾
TSN-WNZ,890,departure,TSN,WNZ,39.124352,117.3461,27.91222,120.851898,天津滨海,温州龙湾
TSN-NGB,843,departure,TSN,NGB,39.124352,117.3461,29.826679,121.461899,天津滨海,宁波栎社
TSN-LHW,819,departure,TSN,LHW,39.124352,117.3461,36.51524,103.620697,天津滨海,兰州中川
TSN-YNT,741,departure,TSN,YNT,39.124352,117.3461,37.657223,120.987221,天津滨海,烟台蓬莱
TSN-HLD,696,departure,TSN,HLD,39.124352,117.3461,49.209334,119.830223,天津滨海,海拉尔东山
TSN-CIF,650,departure,TSN,CIF,39.124352,117.3461,42.159704,118.846745,天津滨海,赤峰玉龙
