node,node_dc,airport_name,airport_lat,airport_lng
HEK,0.013793103,黑河黑河,50.179364,127.320183
OHE,0.013793103,漠河古莲,52.918043,122.432117
JMJ,0.013793103,澜沧景迈,22.41192,99.789519
HTT,0.013793103,海西花土沟,37.129769,97.266855
RKZ,0.013793103,日喀则日喀则,29.348303,89.313836
NLH,0.013793103,宁蒗泸沽湖,27.540396,100.759709
JSJ,0.009195402,建三江湿地,47.111009,132.672883
NGQ,0.009195402,阿里昆莎,32.099597,80.055558
LNJ,0.009195402,临沧临沧,23.736707,100.02549
KJI,0.009195402,布尔津喀纳斯,48.222971,87.000724
FYJ,0.009195402,抚远东极,48.206004,134.371681
HXD,0.009195402,海西德令哈,37.129769,97.266855
CWJ,0.009195402,沧源佤山,23.264479,99.367726
GOQ,0.009195402,格尔木格尔木,36.401596,94.788436
JZH,0.009195402,九寨黄龙,32.851353,103.685263
YYA,0.009195402,岳阳三荷,29.310258,113.280938
RQA,0.009195402,若羌楼兰,38.973102,88.01569
IQM,0.009195402,且末且末,38.144079,85.535451
FYN,0.006896552,富蕴可可托海,47.751758,88.0869
XYI,0.004597701,三沙永兴,16.829044,112.34076
DTU,0.004597701,五大连池德都,48.447837,126.132337
HCJ,0.004597701,河池金城江,24.801072,107.715025
RHT,0.004597701,阿拉善右旗巴丹吉林,39.225406,101.546915
EJN,0.004597701,额济纳旗桃来,42.014143,101.002862
GMQ,0.004597701,果洛果洛,34.419851,100.302977
HPG,0.004597701,神农架红坪,31.635114,110.344673
HBQ,0.004597701,祁连祁连,38.013309,100.651566
TWC,0.004597701,图木舒克唐王城,39.874877,79.0841
