departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out
ACX,SHA,2018,ACXSHA2018,2,25.082371,104.962212,31.196099,121.339766,0.07816092,0.35862069,84,0.0000706,83,0.0000475
ACX,SZX,2015,ACXSZX2015,2,25.082371,104.962212,22.63925,113.8106,0.088669951,0.980295567,84,0.000709458,84,0.000706031
ACX,SZX,2016,ACXSZX2016,2,25.082371,104.962212,22.63925,113.8106,0.130841121,0.962616822,123,0.000397985,123,0.000399827
ACX,SZX,2017,ACXSZX2017,2,25.082371,104.962212,22.63925,113.8106,0.150442478,0.955752212,360,0.000300189,363,0.000300155
ACX,SZX,2018,ACXSZX2018,2,25.082371,104.962212,22.63925,113.8106,0.07816092,0.63908046,329,0.000159626,331,0.0000745
ACX,WUH,2016,ACXWUH2016,2,25.082371,104.962212,30.783751,114.208099,0.130841121,0.654205607,36,0.00026389,36,0.00025906
ACX,WUH,2017,ACXWUH2017,2,25.082371,104.962212,30.783751,114.208099,0.150442478,0.654867257,209,0.000213606,209,0.000214411
ACX,WUH,2018,ACXWUH2018,2,25.082371,104.962212,30.783751,114.208099,0.07816092,0.425287356,208,0.000100497,207,0.0000533
ACX,XIY,2016,ACXXIY2016,2,25.082371,104.962212,34.438157,108.764819,0.130841121,1.088785047,30,0.000692557,30,0.0006906
ACX,XIY,2017,ACXXIY2017,2,25.082371,104.962212,34.438157,108.764819,0.150442478,1.185840708,276,0.000529657,275,0.000530698
ACX,XIY,2018,ACXXIY2018,2,25.082371,104.962212,34.438157,108.764819,0.07816092,0.770114943,332,0.000233616,331,0.000171157
ACX,ZUH,2017,ACXZUH2017,2,25.082371,104.962212,22.00666,113.376297,0.150442478,0.491150442,36,0.000125222,37,0.000126844
ACX,ZYI,2018,ACXZYI2018,2,25.082371,104.962212,27.807451,107.250743,0.07816092,0.172413793,44,0.0000376,44,0.0000199
AEB,CAN,2015,AEBCAN2015,2,23.718051,106.964852,23.392429,113.298698,0.039408867,1.064039409,140,0.001458279,140,0.001480078
AEB,CAN,2016,AEBCAN2016,2,23.718051,106.964852,23.392429,113.298698,0.037383178,1.060747664,154,0.001390431,153,0.001398675
AEB,CAN,2017,AEBCAN2017,2,23.718051,106.964852,23.392429,113.298698,0.03539823,0.960176991,148,0.001196071,148,0.001178429
AEB,CAN,2018,AEBCAN2018,2,23.718051,106.964852,23.392429,113.298698,0.032183908,0.675862069,154,0.000504118,151,0.000184768
AEB,CKG,2015,AEBCKG2015,2,23.718051,106.964852,29.71921,106.641602,0.039408867,0.985221675,329,0.00144277,327,0.001420646
AEB,CKG,2016,AEBCKG2016,2,23.718051,106.964852,29.71921,106.641602,0.037383178,0.995327103,352,0.001413675,352,0.001421959
AEB,CKG,2017,AEBCKG2017,2,23.718051,106.964852,29.71921,106.641602,0.03539823,1.039823009,340,0.00141511,330,0.001405329
AEB,CKG,2018,AEBCKG2018,2,23.718051,106.964852,29.71921,106.641602,0.032183908,0.696551724,389,0.000446086,387,0.000297161
AEB,CSX,2018,AEBCSX2018,2,23.718051,106.964852,28.196667,113.220833,0.032183908,0.510344828,119,0.000291183,119,0.000159285
AEB,HAK,2018,AEBHAK2018,2,23.718051,106.964852,19.934851,110.4589,0.032183908,0.526436782,119,0.000265934,119,0.000154423
AEB,KWE,2018,AEBKWE2018,2,23.718051,106.964852,26.538521,106.800697,0.032183908,0.471264368,64,0.00022947,65,0.000133519
AEB,KWL,2015,AEBKWL2015,2,23.718051,106.964852,25.2181,110.039101,0.039408867,0.448275862,185,0.000463296,186,0.000460119
AEB,KWL,2016,AEBKWL2016,2,23.718051,106.964852,25.2181,110.039101,0.037383178,0.490654206,195,0.000576415,194,0.000577289
AEB,KWL,2017,AEBKWL2017,2,23.718051,106.964852,25.2181,110.039101,0.03539823,0.53539823,174,0.00061097,178,0.000625617
AEB,KWL,2018,AEBKWL2018,2,23.718051,106.964852,25.2181,110.039101,0.032183908,0.303448276,276,0.000170533,277,0.0000977
AEB,PVG,2015,AEBPVG2015,2,23.718051,106.964852,31.14337,121.805199,0.039408867,1.004926108,10,0.001537616,13,0.001541118
AEB,SZX,2016,AEBSZX2016,2,23.718051,106.964852,22.63925,113.8106,0.037383178,0.962616822,65,0.001270643,64,0.001253239
AEB,SZX,2017,AEBSZX2017,2,23.718051,106.964852,22.63925,113.8106,0.03539823,0.955752212,104,0.001185889,104,0.001198665
AEB,SZX,2018,AEBSZX2018,2,23.718051,106.964852,22.63925,113.8106,0.032183908,0.63908046,103,0.000387881,103,0.000192777
AHJ,CKG,2015,AHJCKG2015,2,32.526648,102.359218,29.71921,106.641602,0.019704433,0.985221675,21,0.002378414,21,0.002447938
AHJ,CKG,2016,AHJCKG2016,2,32.526648,102.359218,29.71921,106.641602,0.018691589,0.995327103,92,0.002285921,92,0.002300589
AHJ,CKG,2017,AHJCKG2017,2,32.526648,102.359218,29.71921,106.641602,0.017699115,1.039823009,27,0.002132974,28,0.002125418
AHJ,CKG,2018,AHJCKG2018,2,32.526648,102.359218,29.71921,106.641602,0.018390805,0.696551724,10,0.00081955,10,0.000474872
AHJ,CTU,2015,AHJCTU2015,2,32.526648,102.359218,30.57852,103.946999,0.019704433,1.004926108,94,0.002523546,92,0.002454022
AHJ,CTU,2016,AHJCTU2016,2,32.526648,102.359218,30.57852,103.946999,0.018691589,0.990654206,81,0.002365242,81,0.002350573
